,product_type,description
486,bronzer,"This bronzer with benefits provides an instant and lasting tan-boost that blends and builds easily to your desired level of bronze. Lightweight powder glides on smoothly for a totally uniform and even, healthy-looking tan glow. Formulated with Glow Activators, an exclusive infusion of vitamins, moisturizers and antioxidants that provide mistake-proof Triple-Action Bronze Boosting.Directions for Use: May be worn alone or over makeup. Lightly brush powder over face and neck for a natural-looking tan glow. To accentuate and contour, apply more over cheekbones. For the most even application, be sure to tap excess powder from brush before applying.Ingredients: Talc, Mica, Nylon-12, Zinc Stearate, Cyclopentasiloxane, Dimethicone, Diisostearyl Malate, Octyldodecyl Stearoyl Stearate, Dehydroacetic Acid, Inositol, Lauroyl Lysine, Macuna Pruriens Seed Extract, Maltodextrin, Phospholipids, Silica, Sorbic Acid, Sorbitan Sesquioleate, Ascorbic Acid, Tocopherol, Tocopheryl Acetate, Methylparaben, Propylparaben, May Contain: Iron Oxides, Titanium Dioxide, Ultramarines.* Stain-Free. Streak-Free. Orange-Free. Odour-Free."
487,bronzer,"Warm up your complexion with smart shade™ powder bronzer. This lightweight, smooth formula glides on easily and evenly for a natural look. Three shades of bricked color swirl together to create the perfect bronzed blend for a perfect bronzed look on any skin tone. "
488,bronzer,"Create a healthy looking glow all year round with e.l.f Bronzers.  The sheer soft powders provide the perfect hue of colour. Blend all 4 colours together to achieve a blend of perfection or choose your favorite colour or colours to mix, match and blend.  The Warm Bronzer has a warm shimmer that will bring a glow to your face. How To Use: Dust onto cheekbones, cheeks and slightly around the edges of the face for a healthy bronzed look. Ingredients: Talc, Paraffinum Liquidum (Mineral Oil), Magnesium Stearate, Hydrogenated Polyisobutene, Sodium Dehydroacetate May Contain: Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 7 Lake (CI 15850), Blue 1 Lake (CI 42090), Red 40 Lake (CI 16035) "
489,bronzer,"Earth Lab Loose Mineral Bronzer sets softly on your skin 
			for a very natural look. It offers a sun kissed glow 
			without being too orange like some other bronzers. This bronze does not have any additives or fillers so you'll use less than 
			the size of a dime for your entire face! What look do you go for: the natural bronzed babe, tropical brights, or classic beauty? Try all three with this get the look with natural makeup piece found on our blog, The Well! Ingredients: Mica and Iron oxidesMay Contain: ultra marine blue, Titanium dioxideBottom Label:"
490,bronzer,"Cargo Cosmetics Swimmables Water Resistant Bronzer is a sweat-proof and weatherproof bronzer with a silky powder formula that glides over the skin for a subtle radiant glow.
Features: Natural-looking colour, never orangeThe sheer powder is buildable for a customized lookSilicone-coated pigments provide better adhesion to the skin and help withstand water for extended wear L-Lysine, an amino acid found naturally in the skin, helps increase the bronzer's long-wearing and water-resistant propertiesParaben freeThis makeup is a definite hit for the sun kissing summertime! Try this and other beach ready beauty picks on our blog, The Well!Directions: Using a large fluffy brush, apply over areas of the
 face that are naturally touched by the sun; cheekbones, forehead near 
the hair line, temples and along the jaw line.Ingredients: Talc, Octyldodecyl Stearate, Lauroyl Lysine, Dimethicone, Zinc Stearate,
 Methicone, Sodium Benzoate, Sodium Dehydroacetate, Benzethonium 
Chloride, Tocopheryl Acetate. May Contain: (+/-): Mica (CI 77019), 
Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499),
 Bismuth Oxychloride (CI 77163), Ultramarines (CI 77007), Manganese 
Violet (CI 77742), Red 7 Lake (CI 15850). "
491,bronzer,"Why You'll Love It

Lightweight pigments blend easily and wear evenly
Provides a natural, fade-proof bronzed color that leaves skin the way it was meant to be...fresh, breathing and natural

For Best Results: For soft, natural look, brush along cheekbone, sweeping upward."
492,bronzer,"Physicians Formula Bronze Booster Airbrushing Bronzing Veil  is a Bronzer with Benefits!  Revolutionary Italian technology 
combines the best features of powder, baked and cream bronzers for the 
most stunning bronze glow.  Delivers a skin-perfecting finish unlike any
 other bronzer, Physicians Formula had to call it ""Deluxe""!  
 Glow Activator Technology provides Triple-Action Bronze Boosting that 
helps to enhance and extend the life of your tan glow and improve skin’s
 clarity and radiance.Directions: May be worn alone or over makeup. Lightly brush veil over face and neck 
for a natural looking tan glow.  To accentuate and contour apply more 
over cheekbones. For the most even application, be sure to tap excess 
powder from brush before applying.Ingredients: Synthetic Fluorphlogopite, HDI/Trimethylol Hexyllactone Crosspolymer, 
Cetearyl Ethylhexanoate, Glycerin,  Squalane, Dicalcium Phosphate, 
Octyldodecyl Stearoyl Stearate, Caprylyl Glycol, Ethylhexylglycerin, 
Polysorbate 80, 1,2-Hexanediol, PTFE, Dimethicone, Silica, 
Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Chondrus 
Crispus, Xanthan Gum, Zinc Stearate, Lauroyl Lysine, Cimicifuga Racemosa
 Root Extract, Ascorbyl Palmitate, Inositol, Tocopherol. May Contain: 
Iron Oxides, Mica, Titanium Dioxide.Hypoallergenic. Fragrance-Free. Paraben-Free. Gluten Free.  Oil Free. Dermatologist approved.  "
493,bronzer,"Flaunt the coveted beach-bronze glow in one simple step. This versatile 
3-in-1 multi-shade compact lets you customize your color to create a 
radiant effect. Use just one color or all three!Features: Beautiful bronze glow in just one stepBlendable, multi-shade compactClean and natural lookHow to Apply: Dip powder brush in bronzer and tap off any excess.
Sweep bronzer on your cheeks and temples.
Using a lighter touch, sweep bronzer where the sun naturally hits your face, including your nose, chin, and forehead.
                            "
494,bronzer,"Crafted on Italian terracotta tiles, these sunbaked bronzers are all about a swirly, shimmery, streak-free glow. Available in five shades, from soft gold to tantalizingly tan, it can be dusted on eyes, face, body – anywhere and everywhere you want to glow.Features:Multi-purpose powder for eyes, face & bodyEasy to use and streak-free for a perfect radiant finishAttractive, shiny gold compactMirror & brush applicator includedStreak-freeApplication: Glide brush over color and lightly tap off excess powder. Lightly apply to cheeks, forehead, chin and/or nose and blend well for a soft glow. Ingredients: Talc, Mica, Dimethicone, Octyldodecyl Stearoyl Stearate, Polysorbate 20, Magnesium Aluminum Silicate Phenoxyethanol, Sodium Dehydroacetate, Tocopheryl Acetate, Cetearyl Ethylhexanoate, Ethylhexyl Methoxycinnamate, Simmondsia Chinensis (Jojoba) Seed Oil, Acrylamide/Sodium Acryloyldimethyl Taurate Copolymer, Isohexadecane, Polysorbate 80, Sorbitan Stearate, Zea Mays (Corn) Starch, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499). "
495,bronzer,"Physicians Formula Organic Wear 100% Natural Origin Bronzer is made of 
the finest Italian powder which delivers a buildable natural tan glow.Two shades blend together for the most natural finish. A 100% natural origin bronzer, formulated with 15% certified organic 
ingredients, including jojoba seed oil and corn starch to moisturize and
 mattify the skin. Includes mirror and natural goat hair brush. Directions: May
 be worn alone or over makeup. Lightly brush powder over face and neck 
for a natural-looking tan glow. For the most even application, be sure 
to tap excess powder from brush before applying. For best results on dry
 to very dry skin, apply moisturizer prior to using powder.Ingredients: MICA, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL*, MAGNESIUM STEARATE, ZEA 
MAYS (CORN) STARCH*, KAOLIN, CALCIUM CARBONATE, ZINC STEARATE, OLEA 
EUROPAEA (OLIVE) FRUIT OIL*, GLYCERIN, GLYCINE SOJA (SOYBEAN) OIL*, 
GLYCERYL CAPRYLATE, CINNAMIC ACID, SODIUM LEVULINATE, TOCOPHEROL, WATER.
  MAY CONTAIN: IRON OXIDES, TITANIUM DIOXIDE, ULTRAMARINES.  *PRODUCED 
FROM ORGANIC FARMING.100% Free of Harsh Chemicals. 100% Free of Synthetic Preservatives. 100%
 Free of Parabens.  100% Free of GMO's. 100% Free of Synthetic Colors. 
100% Free of Synthetic Fragrances. 100% Cruelty Free."
496,bronzer,"Dr. Hauschka Translucent Bronzing Tint is ideal for use alone or with all 
Dr.Hauschka moisturizers. This liquid mineral tint offers a sun-kissed 
glow while gently blending and softening the appearance of blemishes and
 imperfections. Skin looks healthy, fresh, even-toned and radiant.Features: A
 soothing combination of olive oil, beeswax and mineral pigments nourish
 and bring color to the skin for a sheer, sun-kissed appearanceAnthyllis and witch hazel tone and firm skinCan be blended with body moisturizers and sunscreens to add or even colorUsed as directed, Translucent Bronzing Tint lasts approximately 4-5 monthsFormerly known as Translucent Bronze ConcentrateIngredients: Water (Aqua), Olea Europaea (Olive) Fruit Oil, Alcohol, Anthyllis 
Vulneraria Extract, Hamamelis Virginiana (Witch Hazel) Bark/Leaf 
Extract, Lysolecithin, Beeswax (Cera Alba), Fragrance (Parfum), Citral*,
 Linalool*, Farnesol*, Benzyl Benzoate*, Limonene*, Citronellol*, 
Geraniol*, Benzyl Salicylate*, Coumarin*, Eugenol*, Cetearyl Alcohol, 
Algin, Silica, Arachis Hypogaea (Peanut) Oil, Chlorophyllin-Copper 
Complex (CI 75810), Iron Oxides (CI 77491, CI 77492, CI 77499)*Component of natural essential oilsDr. Hauschka Skin Care has been 100% natural for over 45 years and is 
certified natural by NATRUE, a non-profit, international association 
founded by the pioneers of natural and organic cosmetics. NATRUE 
certification ensures that a product has met the strongest criteria 
available for natural and organic ingredients in cosmetics and is free 
of synthetic preservatives, fragrances, dyes and petroleum derived 
synthetics. "
497,bronzer,"Impart a healthy glow, with a Pure Anada luminous mineral bronzer!Shade Range:Ingredients: Mica,  Iron Oxides, Ultramarines, May contain: Titanium Dioxide"
498,bronzer,"Created for filming in high definition this Cargo Cosmetics HD Bronzer provides flawless and 
natural looking results. This smooth and silky matte bronzer gives 
radiance to the skin without the shimmer.  An optical blurring effect 
smoothes the look of the skin texture, minimizing the look of pores and 
fine lines.  Never looks orange or streaky. 

Features:
Photochromatic pigments adjust with the lighting so that you have a natural looking make-up no matter what the settingUltra-fine micronized minerals fill the look of fine lines and reduce the appearance of imperfectionsHow to Use: Using
 a large fluff brush apply over the areas of the face that are naturally
 touched by the sun like the apples of the cheeks, the upper cheekbones,
 forehead and along the jaw lineFor natural looking results without any streaking use a circular buffing actionIngredients: Talc, Mica, Nylon-12, Isopropyl Isostearate, Zinc Stearate, Boron Nitride, Caprylyl Glycol. May Contain (+/-):
 Mica (CI 77019), Titanium Dioxide (CI 77891), Iron Oxides ( CI 77491, 
CI 77492), Manganese Violet (CI 77742), D&C Black 2 (CI 77266)

"
499,bronzer,"Physicians Formula Bronze Booster Glow-Boosting BB Cream combines the best features of a BB Cream with the glowing finish of a bronzer. Weightless BB Cream formula delivers makeup + skincare performance, instantly absorbing into skin, while leaving behind a smooth, even and natural sunkissed glow.Hypoallergenic. Paraben-Free. Gluten Free. Oil Free. Fragrance Free. Non-Comedogenic. Dermatologist approved. "
500,bronzer,"Create a healthy looking glow all year round!  The sheer soft powders 
provide the perfect hue of color.  Blend all 4 colors together to 
achieve a blend of perfection or choose your favorite color or colors to
 mix, match and blend.Golden Bronzer: An illuminating shimmer that is subtle and radiant.  Ideal for summer or year-round.

					Ingredients: Talc, Paraffinum Liquidum (Mineral Oil), Magnesium Stearate, 
Hydrogenated Polyisobutene, Sodium Dehydroacetate
May Contain: Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, 
CI 77492, CI 77499), Red 7 Lake (CI 15850), Blue 1 Lake (CI 42090), Red 
40 Lake (CI 16035)
"
501,bronzer,"Maybelline Facestudio Master Contour Kit is the ultimate on the go all-in-one palette, with contouring brush included.  Define and highlight in a New York minute with this effortless 3-step face contouring kit.  This easy-to-use 3-step face contouring kit features a bronzer, blush and highlighter."
502,bronzer,"NYX Mosaic Powder Blush is a medley of colors that creates a flush of color and dazzling glow for every skin tone. Features:Five shades in one palette, this blush is a brown-pinkWorks as blush and highlighterFlattering on every skin toneUse to highlight, enhance & brighten Each mosaic of color blends beautifully with magical results"
503,blush,"Give your cheeks a sun kissed glow with Fake Bake Blush in Legal Sunburn. Paraben Free. Brush the powder blush over your cheeks, nose, and brow arches, and instantly wake up a tired or pale face.
The naturally derived red and pink hues give you a fresh, sexy color-minus the skin damage.Ingredients: Mica, Talc, Nylon-12, Ethylhexyl Palmitate, Parafinum Liquidum, Petrolatum, Kaolin, Magnesium Stearate, Tocopheryl Acetate, Caprylic/Capric, Triglyceride, Silica, Phenoxyethanol, Proctone Olamine, [may contain ( +/-): C!75470, CI77891, CI77499, CI45410:2, CI77492, CI19140:1]"
504,blush,NYX Ombre Blush is a new gradient blush inspired by the ombre trend.  This must-have formula features two silky colours blended into one perfectly coordinated shade combo.Featured Colours:Blue Toned Pink & Bright Yellow Toned Pink
505,blush,"Never stop blushing with CoverGirl New truBLEND blush! Features:New marbled baked formulaUltra-blendable and delivers a beautiful, multi-toned result Designed to fit light, medium and deep skin tones alikeHow to Apply: Step 1: Lightly dip brush into blush, then tap or blow off excess powder. Step 2: Next, sweep the blush over and under your cheekbone to create a beautiful, rosy looking flush. "
506,blush,"Cargo Cosmetics HD Picture Perfect Blush Highlighter was created for high-definition filming to provide picture-perfect 
results while looking completely natural.The Cargo HD 
Blush/Highlighter is a universally flattering shade of blush with a 
velvety formula that adjusts with ambient lighting, providing a natural 
finish day or night..  
Features:
Photochromatic pigments adjust with the lighting so that you have a natural looking make-up no matter what the settingUltra-fine micronized minerals fill the look of fine lines and reduce the appearance of imperfectionsShade Range: Application: For a natural application of color apply to the apples of the cheeks and long the cheekbones using a large fluffy blush brushTo highlight and enhance the cheekbones use a small blush brush or sculpting brush along the upper edges of the cheekbonesIngredients: Talc, Nylon-12, Octyldodecyl Stearoyl Stearate, Silica, Zinc Stearate, Caprylyl Glycol, Silver Oxide May Contain (+/-): Mica (CI 77019), Titanium Dioxide (CI 77891), Manganese Violet (CI 77742), Iron Oxides (CI 77491), Ultramarines (CI 77007).
"
